kappa,run,interval,wind_dispatched,wind_revenue
180,3,22,223.83920461325454,11191.960230662728
180,3,23,234.00422999664272,11700.211499832136
180,3,24,300.0,1412.5170236414833
180,4,1,300.0,10069.158518108497
180,4,2,216.46466550060438,10823.23327503022
180,4,3,271.9334099666795,13596.670498333975
180,4,4,300.0,15755.504707700902
180,4,5,271.145511383457,13557.27556917285
180,4,6,300.0,15760.726641267156
180,4,7,300.0,2229.493208249449
180,4,8,57.82861525507997,2891.4307627539984
180,4,9,233.73698224102122,8906.663385414755
180,4,10,147.84172502694946,7392.086251347473
180,4,11,0.0,0.0
180,4,12,0.0,0.0
180,4,13,0.0,0.0
180,4,14,115.36608506452342,5768.304253226171
180,4,15,0.0,0.0
180,4,16,25.714608927901622,1285.7304463950811
180,4,17,132.70218526227188,6635.109263113594
180,4,18,300.0,15385.927509181322
180,4,19,300.0,15151.639992603183
180,4,20,265.4356966243971,13271.784831219855
180,4,21,249.557932892944,12477.8966446472
180,4,22,258.01729427451994,8702.739022809676
180,4,23,300.0,15224.854878090648
180,4,24,300.0,15111.82917832359
180,5,1,237.56416131350807,11878.208065675404
180,5,2,236.5744560852304,11828.72280426152
180,5,3,300.0,14459.653338421534
180,5,4,257.0285412065373,12851.427060326863
180,5,5,300.0,5258.599479608942
180,5,6,232.61731646501573,11630.865823250786
180,5,7,300.0,15469.422391087164
180,5,8,297.67048782860945,3905.783781624252
180,5,9,0.0,0.0
180,5,10,174.47233864367763,8723.616932183882
180,5,11,104.90439757298338,5245.219878649169
180,5,12,113.32257278359884,5666.128639179942
180,5,13,0.0,0.0
180,5,14,0.0,0.0
180,5,15,0.0,0.0
180,5,16,50.943229598674634,2547.1614799337317
180,5,17,131.19945009092862,6559.972504546431
180,5,18,237.94636206873122,11897.31810343656
180,5,19,300.0,-4359.127758528422
180,5,20,252.61769724842577,12630.884862421288
180,5,21,234.33219668855122,11716.609834427562
180,5,22,291.3001463814504,14565.007319072522
180,5,23,221.28896477794,11064.448238897001
