qu,run,t,dispatched_wind_MWh,wind_revenue_USD
100,6,17,300.0,15165.33754
100,6,18,263.126079,13156.303969
100,6,19,268.619689,13430.984466
100,6,20,300.0,15714.592746
100,6,21,300.0,15267.549878
100,6,22,300.0,7074.101386
100,6,23,242.150677,12107.533842
100,6,24,300.0,15761.570898
100,7,1,284.384502,14219.225116
100,7,2,300.0,15364.296246
100,7,3,250.331464,10796.506527
100,7,4,241.649458,12082.472894
100,7,5,300.0,15154.441064
100,7,6,255.885999,11493.334856
100,7,7,300.0,7144.792264
100,7,8,75.187186,3759.359304
100,7,9,0.0,0.0
100,7,10,0.0,0.0
100,7,11,0.0,0.0
100,7,12,100.446046,5022.302294
100,7,13,147.211667,7360.583353
100,7,14,158.069975,7903.498735
100,7,15,0.0,0.0
100,7,16,52.557137,2627.856855
100,7,17,300.0,15722.473545
100,7,18,250.016389,5567.921014
100,7,19,267.808217,13235.490894
100,7,20,250.228358,12511.417909
100,7,21,300.0,15736.315115
100,7,22,300.0,15309.211253
100,7,23,300.0,14747.589545
100,7,24,300.0,15172.432546
100,8,1,300.0,14934.971488
100,8,2,300.0,9142.779148
100,8,3,243.207544,12160.377222
100,8,4,245.548781,12277.439061
100,8,5,238.531416,11926.57082
100,8,6,300.0,13549.946186
100,8,7,300.0,6867.145631
100,8,8,68.016979,3400.848942
100,8,9,208.510713,10425.535647
100,8,10,0.0,0.0
100,8,11,0.0,0.0
100,8,12,119.609773,5980.488663
100,8,13,149.327027,3265.083182
100,8,14,159.455883,7972.794147
100,8,15,210.23257,10511.628492
100,8,16,71.936876,3596.843805
100,8,17,131.669834,6583.491684
100,8,18,274.861238,13743.061894
100,8,19,300.0,5064.207741
100,8,20,263.483045,13174.152246
100,8,21,300.0,7662.247243
100,8,22,300.0,18565.83271
100,8,23,300.0,11678.964037
100,8,24,234.079933,11703.996631
100,9,1,300.0,15197.316283
100,9,2,300.0,14627.103359
100,9,3,257.947078,12897.353876
100,9,4,234.748534,11737.426681
100,9,5,244.62514,12231.256993
100,9,6,300.0,13972.429216
100,9,7,135.033272,6751.663576
100,9,8,293.70121,14685.060485
100,9,9,0.0,0.0
100,9,10,132.725529,6636.276458
100,9,11,96.571903,4828.595148
100,9,12,133.458695,6672.934759
100,9,13,119.057871,5952.893534
100,9,14,0.0,0.0
100,9,15,0.0,0.0
100,9,16,48.913283,2445.664158
100,9,17,149.564506,7478.225295
100,9,18,300.0,12324.261455
100,9,19,300.0,8180.2106
100,9,20,256.035392,9386.679379
100,9,21,300.0,16236.50783
100,9,22,300.0,14267.43351
100,9,23,300.0,15598.952233
100,9,24,300.0,9148.5395
100,10,1,277.210968,13860.548419
100,10,2,253.157129,12657.856451
100,10,3,300.0,15435.983549
100,10,4,300.0,12929.677845
100,10,5,232.739645,11636.982268
100,10,6,253.964654,10491.168608
100,10,7,300.0,4314.339009
100,10,8,300.0,9571.622329
100,10,9,0.0,0.0
100,10,10,169.71369,8485.684493
100,10,11,99.552588,4977.629394
100,10,12,82.652981,4132.649068
100,10,13,130.593927,6529.696373
100,10,14,300.0,15100.153802
100,10,15,0.0,0.0
100,10,16,300.0,4664.863211
100,10,17,116.241535,5812.076731
100,10,18,300.0,10641.444105
100,10,19,300.0,8674.585229
100,10,20,300.0,9184.490218
100,10,21,245.570116,6515.286035
100,10,22,300.0,12873.120968
100,10,23,300.0,7236.055419
100,10,24,256.940314,12847.015681
180,1,1,300.0,-1772.836509
180,1,2,264.727599,13236.379938
180,1,3,271.446472,7311.17589
180,1,4,300.0,15096.231111
180,1,5,231.822469,11591.123462
180,1,6,249.554985,12477.749268
180,1,7,300.0,5056.295194
180,1,8,283.215668,7333.473243
180,1,9,237.760328,11888.016395
180,1,10,0.0,0.0
180,1,11,119.38944,5969.471998
180,1,12,0.0,0.0
180,1,13,0.0,0.0
180,1,14,170.950376,8547.518788
180,1,15,274.476054,2145.871157
180,1,16,43.74888,2187.443995
180,1,17,300.0,9341.346804
180,1,18,256.526868,12826.343388
180,1,19,260.441088,13022.054396
180,1,20,233.311366,11665.568309
180,1,21,300.0,12857.748055
180,1,22,236.474698,11823.734886
180,1,23,250.428807,12521.440345
180,1,24,300.0,8278.878293
180,2,1,300.0,2101.35115
180,2,2,300.0,8656.036193
180,2,3,300.0,15336.804575
180,2,4,260.89095,4018.428071
180,2,5,235.833358,11791.667902
180,2,6,300.0,8127.649773
180,2,7,137.351297,6867.564856
180,2,8,300.0,15300.435516
180,2,9,0.0,0.0
180,2,10,0.0,0.0
180,2,11,0.0,0.0
180,2,12,0.0,0.0
180,2,13,0.0,0.0
180,2,14,110.172601,5508.630027
180,2,15,227.592865,11379.643231
180,2,16,300.0,7359.467057
180,2,17,145.106054,6493.52647
180,2,18,300.0,15206.844871
180,2,19,300.0,2508.175416
180,2,20,265.156822,13020.842191
180,2,21,197.414236,9870.711782
180,2,22,239.133378,11956.668876
180,2,23,300.0,9189.557145
180,2,24,300.0,7898.815761
180,3,1,248.273268,12413.6634
180,3,2,300.0,15044.638303
180,3,3,223.676907,11183.845367
180,3,4,300.0,1037.814388
180,3,5,300.0,15611.106875
180,3,6,300.0,5452.662031
180,3,7,133.00125,6650.062485
180,3,8,18.551794,927.5897
180,3,9,244.432326,12221.616298
180,3,10,137.764891,6888.244566
180,3,11,0.0,0.0
180,3,12,0.0,0.0
